"     ankle"

"Time      "	".JOINT_15.Ax_Ay_Az_Projection_Angles.Z"	".JOINT_14.Ax_Ay_Az_Projection_Angles.Z"
0.000000e+00	0.000000e+00	1.193196e-13
1.000000e-04	0.000000e+00	1.208793e-05
2.000000e-04	0.000000e+00	4.589796e-05
3.000000e-04	-1.124865e-07	9.797264e-05
4.000000e-04	-2.587926e-07	1.650063e-04
5.000000e-04	-4.996971e-07	2.436780e-04
6.000000e-04	-8.686191e-07	3.305730e-04
7.000000e-04	-1.403980e-06	4.222995e-04
8.000000e-04	-2.149452e-06	5.154949e-04
9.000000e-04	-3.155391e-06	6.068331e-04
1.000000e-03	-4.479724e-06	6.930390e-04
1.100000e-03	-6.188719e-06	7.709042e-04
1.200000e-03	-8.357727e-06	8.373016e-04
1.300000e-03	-1.107187e-05	8.892003e-04
1.400000e-03	-1.442668e-05	9.236801e-04
1.500000e-03	-1.852860e-05	9.379449e-04
1.600000e-03	-2.349557e-05	9.293349e-04
1.700000e-03	-2.945726e-05	8.953403e-04
1.800000e-03	-3.655553e-05	8.336104e-04
1.900000e-03	-4.494453e-05	7.419651e-04
2.000000e-03	-5.479066e-05	6.184044e-04
2.100000e-03	-6.627306e-05	4.611121e-04
2.200000e-03	-7.958271e-05	2.684693e-04
2.300000e-03	-9.492342e-05	3.905008e-05
2.400000e-03	-1.125098e-04	-2.283629e-04
2.500000e-03	-1.325683e-04	-5.347864e-04
2.600000e-03	-1.553368e-04	-8.810325e-04
2.700000e-03	-1.810642e-04	-1.267710e-03
2.800000e-03	-2.100073e-04	-1.695219e-03
2.900000e-03	-2.424327e-04	-2.163764e-03
3.000000e-03	-2.786160e-04	-2.673350e-03
3.100000e-03	-3.188407e-04	-3.223793e-03
3.200000e-03	-3.633974e-04	-3.814720e-03
3.300000e-03	-4.125832e-04	-4.445583e-03
3.400000e-03	-4.667004e-04	-5.115660e-03
3.500000e-03	-5.260565e-04	-5.824069e-03
3.600000e-03	-5.909623e-04	-6.569776e-03
3.700000e-03	-6.617351e-04	-7.351594e-03
3.800000e-03	-7.386907e-04	-8.168219e-03
3.900000e-03	-8.221514e-04	-9.018208e-03
4.000000e-03	-9.124400e-04	-9.900011e-03
4.100000e-03	-1.009882e-03	-1.081197e-02
4.200000e-03	-1.114802e-03	-1.175235e-02
4.300000e-03	-1.227529e-03	-1.271930e-02
4.400000e-03	-1.348395e-03	-1.371089e-02
4.500000e-03	-1.477726e-03	-1.472519e-02
4.600000e-03	-1.615847e-03	-1.576017e-02
4.700000e-03	-1.763091e-03	-1.681376e-02
4.800000e-03	-1.919785e-03	-1.788385e-02
4.900000e-03	-2.086261e-03	-1.896831e-02
5.000000e-03	-2.262848e-03	-2.006497e-02
5.100000e-03	-2.449878e-03	-2.117163e-02
5.200000e-03	-2.647682e-03	-2.228611e-02
5.300000e-03	-2.856587e-03	-2.340622e-02
5.400000e-03	-3.076926e-03	-2.452973e-02
5.500000e-03	-3.309023e-03	-2.565450e-02
5.600000e-03	-3.553216e-03	-2.677825e-02
5.700000e-03	-3.809819e-03	-2.789890e-02
5.800000e-03	-4.079170e-03	-2.901418e-02
5.900000e-03	-4.361564e-03	-3.012215e-02
6.000000e-03	-4.657336e-03	-3.122055e-02
6.100000e-03	-4.966801e-03	-3.230726e-02
6.200000e-03	-5.290268e-03	-3.338022e-02
6.300000e-03	-5.628038e-03	-3.443735e-02
6.400000e-03	-5.980408e-03	-3.547664e-02
6.500000e-03	-6.347667e-03	-3.649609e-02
6.600000e-03	-6.730091e-03	-3.749374e-02
6.700000e-03	-7.127945e-03	-3.846770e-02
6.800000e-03	-7.541470e-03	-3.941610e-02
6.900000e-03	-7.970868e-03	-4.033719e-02
7.000000e-03	-8.416294e-03	-4.122931e-02
7.100000e-03	-8.877841e-03	-4.209095e-02
7.200000e-03	-9.355535e-03	-4.292073e-02
7.300000e-03	-9.849319e-03	-4.371743e-02
7.400000e-03	-1.035905e-02	-4.448004e-02
7.500000e-03	-1.088450e-02	-4.520771e-02
7.600000e-03	-1.142534e-02	-4.589980e-02
7.700000e-03	-1.198114e-02	-4.655589e-02
7.800000e-03	-1.255139e-02	-4.717573e-02
7.900000e-03	-1.313545e-02	-4.775931e-02
8.000000e-03	-1.373264e-02	-4.830681e-02
8.100000e-03	-1.434214e-02	-4.881861e-02
8.200000e-03	-1.496309e-02	-4.929526e-02
8.300000e-03	-1.559454e-02	-4.973750e-02
8.400000e-03	-1.623550e-02	-5.014621e-02
8.500000e-03	-1.688491e-02	-5.052241e-02
8.600000e-03	-1.754168e-02	-5.086725e-02
8.700000e-03	-1.820470e-02	-5.118196e-02
8.800000e-03	-1.887285e-02	-5.146786e-02
8.900000e-03	-1.954502e-02	-5.172633e-02
9.000000e-03	-2.022011e-02	-5.195875e-02
9.100000e-03	-2.089706e-02	-5.216652e-02
9.200000e-03	-2.157484e-02	-5.235103e-02
9.300000e-03	-2.225251e-02	-5.251362e-02
9.400000e-03	-2.292917e-02	-5.265558e-02
9.500000e-03	-2.360401e-02	-5.277809e-02
9.600000e-03	-2.427631e-02	-5.288228e-02
9.700000e-03	-2.494547e-02	-5.296912e-02
9.800000e-03	-2.561096e-02	-5.303949e-02
9.900000e-03	-2.627238e-02	-5.309413e-02
1.000000e-02	-2.692944e-02	-5.313361e-02
1.010000e-02	-2.758198e-02	-5.315837e-02
1.020000e-02	-2.822991e-02	-5.316869e-02
1.030000e-02	-2.887329e-02	-5.316473e-02
1.040000e-02	-2.951228e-02	-5.314648e-02
1.050000e-02	-3.014711e-02	-5.311381e-02
1.060000e-02	-3.077813e-02	-5.306644e-02
1.070000e-02	-3.140576e-02	-5.300401e-02
1.080000e-02	-3.203049e-02	-5.292603e-02
1.090000e-02	-3.265290e-02	-5.283192e-02
1.100000e-02	-3.327358e-02	-5.272103e-02
1.110000e-02	-3.389318e-02	-5.259268e-02
1.120000e-02	-3.451237e-02	-5.244611e-02
1.130000e-02	-3.513182e-02	-5.228059e-02
1.140000e-02	-3.575222e-02	-5.209537e-02
1.150000e-02	-3.637421e-02	-5.188972e-02
1.160000e-02	-3.699842e-02	-5.166296e-02
1.170000e-02	-3.762544e-02	-5.141445e-02
1.180000e-02	-3.825581e-02	-5.114363e-02
1.190000e-02	-3.888999e-02	-5.085003e-02
1.200000e-02	-3.952839e-02	-5.053326e-02
1.210000e-02	-4.017134e-02	-5.019305e-02
1.220000e-02	-4.081908e-02	-4.982924e-02
1.230000e-02	-4.147177e-02	-4.944176e-02
1.240000e-02	-4.212948e-02	-4.903069e-02
1.250000e-02	-4.279222e-02	-4.859621e-02
1.260000e-02	-4.345986e-02	-4.813862e-02
1.270000e-02	-4.413224e-02	-4.765833e-02
1.280000e-02	-4.480910e-02	-4.715583e-02
1.290000e-02	-4.549011e-02	-4.663172e-02
1.300000e-02	-4.617489e-02	-4.608667e-02
1.310000e-02	-4.686298e-02	-4.552141e-02
1.320000e-02	-4.755391e-02	-4.493672e-02
1.330000e-02	-4.824715e-02	-4.433343e-02
1.340000e-02	-4.894216e-02	-4.371234e-02
1.350000e-02	-4.963841e-02	-4.307429e-02
1.360000e-02	-5.033535e-02	-4.242007e-02
1.370000e-02	-5.103245e-02	-4.175044e-02
1.380000e-02	-5.172921e-02	-4.106612e-02
1.390000e-02	-5.242519e-02	-4.036773e-02
1.400000e-02	-5.311997e-02	-3.965582e-02
1.410000e-02	-5.381323e-02	-3.893084e-02
1.420000e-02	-5.450467e-02	-3.819313e-02
1.430000e-02	-5.519413e-02	-3.744290e-02
1.440000e-02	-5.588149e-02	-3.668024e-02
1.450000e-02	-5.656673e-02	-3.590511e-02
1.460000e-02	-5.724995e-02	-3.511735e-02
1.470000e-02	-5.793133e-02	-3.431663e-02
1.480000e-02	-5.861113e-02	-3.350254e-02
1.490000e-02	-5.928975e-02	-3.267450e-02
1.500000e-02	-5.996764e-02	-3.183185e-02
1.510000e-02	-6.064537e-02	-3.097382e-02
1.520000e-02	-6.132358e-02	-3.009952e-02
1.530000e-02	-6.200299e-02	-2.920802e-02
1.540000e-02	-6.268440e-02	-2.829832e-02
1.550000e-02	-6.336866e-02	-2.736935e-02
1.560000e-02	-6.405666e-02	-2.642005e-02
1.570000e-02	-6.474937e-02	-2.544933e-02
1.580000e-02	-6.544773e-02	-2.445614e-02
1.590000e-02	-6.615274e-02	-2.343945e-02
1.600000e-02	-6.686540e-02	-2.239829e-02
1.610000e-02	-6.758668e-02	-2.133175e-02
1.620000e-02	-6.831755e-02	-2.023903e-02
1.630000e-02	-6.905896e-02	-1.911944e-02
1.640000e-02	-6.981182e-02	-1.797239e-02
1.650000e-02	-7.057697e-02	-1.679746e-02
1.660000e-02	-7.135521e-02	-1.559437e-02
1.670000e-02	-7.214727e-02	-1.436300e-02
1.680000e-02	-7.295383e-02	-1.310339e-02
1.690000e-02	-7.377537e-02	-1.181592e-02
1.700000e-02	-7.461189e-02	-1.050192e-02
1.710000e-02	-7.546321e-02	-9.163084e-03
1.720000e-02	-7.632910e-02	-7.801195e-03
1.730000e-02	-7.720929e-02	-6.418134e-03
1.740000e-02	-7.810348e-02	-5.015849e-03
1.750000e-02	-7.901138e-02	-3.596327e-03
1.760000e-02	-7.993266e-02	-2.161563e-03
1.770000e-02	-8.086706e-02	-7.135362e-04
1.780000e-02	-8.181429e-02	7.458113e-04
1.790000e-02	-8.277415e-02	2.214610e-03
1.800000e-02	-8.374645e-02	3.691075e-03
1.810000e-02	-8.473110e-02	5.173542e-03
1.820000e-02	-8.572806e-02	6.660457e-03
1.830000e-02	-8.673737e-02	8.150413e-03
1.840000e-02	-8.775917e-02	9.642147e-03
1.850000e-02	-8.879361e-02	1.113444e-02
1.860000e-02	-8.984074e-02	1.262586e-02
1.870000e-02	-9.090033e-02	1.411449e-02
1.880000e-02	-9.197214e-02	1.559836e-02
1.890000e-02	-9.305593e-02	1.707549e-02
1.900000e-02	-9.415146e-02	1.854390e-02
1.910000e-02	-9.525848e-02	2.000158e-02
1.920000e-02	-9.637675e-02	2.144651e-02
1.930000e-02	-9.750603e-02	2.287669e-02
1.940000e-02	-9.864609e-02	2.429008e-02
1.950000e-02	-9.979669e-02	2.568466e-02
1.960000e-02	-1.009576e-01	2.705840e-02
1.970000e-02	-1.021287e-01	2.840930e-02
1.980000e-02	-1.033096e-01	2.973534e-02
1.990000e-02	-1.045003e-01	3.103455e-02
2.000000e-02	-1.057005e-01	3.230496e-02
2.010000e-02	-1.069100e-01	3.354465e-02
2.020000e-02	-1.081288e-01	3.475174e-02
2.030000e-02	-1.093567e-01	3.592436e-02
2.040000e-02	-1.105936e-01	3.706074e-02
2.050000e-02	-1.118393e-01	3.815913e-02
2.060000e-02	-1.130938e-01	3.921787e-02
2.070000e-02	-1.143570e-01	4.023533e-02
2.080000e-02	-1.156290e-01	4.121000e-02
2.090000e-02	-1.169095e-01	4.214046e-02
2.100000e-02	-1.181987e-01	4.302536e-02
2.110000e-02	-1.194965e-01	4.386347e-02
2.120000e-02	-1.208030e-01	4.465366e-02
2.130000e-02	-1.221181e-01	4.539488e-02
2.140000e-02	-1.234420e-01	4.608626e-02
2.150000e-02	-1.247747e-01	4.672699e-02
2.160000e-02	-1.261163e-01	4.731642e-02
2.170000e-02	-1.274668e-01	4.785403e-02
2.180000e-02	-1.288264e-01	4.833943e-02
2.190000e-02	-1.301952e-01	4.877236e-02
2.200000e-02	-1.315732e-01	4.915270e-02
2.210000e-02	-1.329606e-01	4.948048e-02
2.220000e-02	-1.343575e-01	4.975585e-02
2.230000e-02	-1.357641e-01	4.997909e-02
2.240000e-02	-1.371804e-01	5.015066e-02
2.250000e-02	-1.386066e-01	5.027107e-02
2.260000e-02	-1.400429e-01	5.034107e-02
2.270000e-02	-1.414892e-01	5.036144e-02
2.280000e-02	-1.429459e-01	5.033317e-02
2.290000e-02	-1.444129e-01	5.025727e-02
2.300000e-02	-1.458904e-01	5.013504e-02
2.310000e-02	-1.473786e-01	4.996767e-02
2.320000e-02	-1.488775e-01	4.975652e-02
2.330000e-02	-1.503872e-01	4.950306e-02
2.340000e-02	-1.519079e-01	4.920884e-02
2.350000e-02	-1.534397e-01	4.887550e-02
2.360000e-02	-1.549826e-01	4.850475e-02
2.370000e-02	-1.565367e-01	4.809834e-02
2.380000e-02	-1.581022e-01	4.765811e-02
2.390000e-02	-1.596791e-01	4.718593e-02
2.400000e-02	-1.612676e-01	4.668372e-02
2.410000e-02	-1.628677e-01	4.615343e-02
2.420000e-02	-1.644796e-01	4.559703e-02
2.430000e-02	-1.661033e-01	4.501653e-02
2.440000e-02	-1.677389e-01	4.441393e-02
2.450000e-02	-1.693866e-01	4.379126e-02
2.460000e-02	-1.710465e-01	4.315055e-02
2.470000e-02	-1.727187e-01	4.249380e-02
2.480000e-02	-1.744034e-01	4.182304e-02
2.490000e-02	-1.761006e-01	4.114026e-02
2.500000e-02	-1.778106e-01	4.044744e-02
2.510000e-02	-1.795336e-01	3.974654e-02
2.520000e-02	-1.812696e-01	3.903950e-02
2.530000e-02	-1.830189e-01	3.832823e-02
2.540000e-02	-1.847817e-01	3.761459e-02
2.550000e-02	-1.865581e-01	3.690044e-02
2.560000e-02	-1.883485e-01	3.618758e-02
2.570000e-02	-1.901530e-01	3.547774e-02
2.580000e-02	-1.919718e-01	3.477262e-02
2.590000e-02	-1.938052e-01	3.407380e-02
2.600000e-02	-1.956532e-01	3.338275e-02
2.610000e-02	-1.975161e-01	3.270084e-02
2.620000e-02	-1.993939e-01	3.202929e-02
2.630000e-02	-2.012867e-01	3.136918e-02
2.640000e-02	-2.031943e-01	3.072144e-02
2.650000e-02	-2.051169e-01	3.008683e-02
2.660000e-02	-2.070541e-01	2.946596e-02
2.670000e-02	-2.090059e-01	2.885926e-02
2.680000e-02	-2.109719e-01	2.826703e-02
2.690000e-02	-2.129518e-01	2.768938e-02
2.700000e-02	-2.149452e-01	2.712629e-02
2.710000e-02	-2.169518e-01	2.657760e-02
2.720000e-02	-2.189709e-01	2.604301e-02
2.730000e-02	-2.210021e-01	2.552211e-02
2.740000e-02	-2.230447e-01	2.501439e-02
2.750000e-02	-2.250981e-01	2.451925e-02
2.760000e-02	-2.271618e-01	2.403603e-02
2.770000e-02	-2.292351e-01	2.356400e-02
2.780000e-02	-2.313172e-01	2.310241e-02
2.790000e-02	-2.334076e-01	2.265049e-02
2.800000e-02	-2.355057e-01	2.220747e-02
2.810000e-02	-2.376109e-01	2.177259e-02
2.820000e-02	-2.397225e-01	2.134513e-02
2.830000e-02	-2.418400e-01	2.092442e-02
2.840000e-02	-2.439631e-01	2.050984e-02
2.850000e-02	-2.460912e-01	2.010083e-02
2.860000e-02	-2.482241e-01	1.969694e-02
2.870000e-02	-2.503615e-01	1.929777e-02
2.880000e-02	-2.525031e-01	1.890304e-02
2.890000e-02	-2.546489e-01	1.851253e-02
2.900000e-02	-2.567989e-01	1.812614e-02
2.910000e-02	-2.589530e-01	1.774386e-02
2.920000e-02	-2.611115e-01	1.736573e-02
2.930000e-02	-2.632745e-01	1.699190e-02
2.940000e-02	-2.654424e-01	1.662259e-02
2.950000e-02	-2.676154e-01	1.625807e-02
2.960000e-02	-2.697942e-01	1.589864e-02
2.970000e-02	-2.719791e-01	1.554465e-02
2.980000e-02	-2.741706e-01	1.519648e-02
2.990000e-02	-2.763696e-01	1.485449e-02
3.000000e-02	-2.785764e-01	1.451904e-02
3.010000e-02	-2.807920e-01	1.419044e-02
3.020000e-02	-2.830169e-01	1.386899e-02
3.030000e-02	-2.852518e-01	1.355490e-02
3.040000e-02	-2.874976e-01	1.324832e-02
3.050000e-02	-2.897548e-01	1.294929e-02
3.060000e-02	-2.920243e-01	1.265777e-02
3.070000e-02	-2.943067e-01	1.237360e-02
3.080000e-02	-2.966026e-01	1.209649e-02
3.090000e-02	-2.989128e-01	1.182604e-02
3.100000e-02	-3.012377e-01	1.156170e-02
3.110000e-02	-3.035779e-01	1.130279e-02
3.120000e-02	-3.059340e-01	1.104848e-02
3.130000e-02	-3.083064e-01	1.079783e-02
3.140000e-02	-3.106954e-01	1.054974e-02
3.150000e-02	-3.131014e-01	1.030300e-02
3.160000e-02	-3.155248e-01	1.005628e-02
3.170000e-02	-3.179656e-01	9.808145e-03
3.180000e-02	-3.204242e-01	9.557067e-03
3.190000e-02	-3.229007e-01	9.301429e-03
3.200000e-02	-3.253952e-01	9.039554e-03
3.210000e-02	-3.279077e-01	8.769712e-03
3.220000e-02	-3.304383e-01	8.490141e-03
3.230000e-02	-3.329871e-01	8.199063e-03
3.240000e-02	-3.355539e-01	7.894700e-03
3.250000e-02	-3.381389e-01	7.575295e-03
3.260000e-02	-3.407420e-01	7.239127e-03
3.270000e-02	-3.433633e-01	6.884526e-03
3.280000e-02	-3.460026e-01	6.509890e-03
3.290000e-02	-3.486602e-01	6.113701e-03
3.300000e-02	-3.513359e-01	5.694533e-03
3.310000e-02	-3.540300e-01	5.251068e-03
3.320000e-02	-3.567425e-01	4.782101e-03
3.330000e-02	-3.594736e-01	4.286549e-03
3.340000e-02	-3.622235e-01	3.763457e-03
3.350000e-02	-3.649926e-01	3.211999e-03
3.360000e-02	-3.677810e-01	2.631478e-03
3.370000e-02	-3.705892e-01	2.021327e-03
3.380000e-02	-3.734175e-01	1.381102e-03
3.390000e-02	-3.762665e-01	7.104815e-04
3.400000e-02	-3.791367e-01	9.250892e-06
3.410000e-02	-3.820285e-01	-7.227007e-04
3.420000e-02	-3.849427e-01	-1.485394e-03
3.430000e-02	-3.878799e-01	-2.278773e-03
3.440000e-02	-3.908407e-01	-3.102718e-03
3.450000e-02	-3.938258e-01	-3.957057e-03
3.460000e-02	-3.968360e-01	-4.841586e-03
3.470000e-02	-3.998720e-01	-5.756082e-03
3.480000e-02	-4.029346e-01	-6.700315e-03
3.490000e-02	-4.060244e-01	-7.674068e-03
3.500000e-02	-4.091424e-01	-8.677151e-03
3.510000e-02	-4.122891e-01	-9.709412e-03
3.520000e-02	-4.154654e-01	-1.077075e-02
3.530000e-02	-4.186718e-01	-1.186113e-02
3.540000e-02	-4.219092e-01	-1.298058e-02
3.550000e-02	-4.251780e-01	-1.412922e-02
3.560000e-02	-4.284789e-01	-1.530727e-02
3.570000e-02	-4.318125e-01	-1.651500e-02
3.580000e-02	-4.351792e-01	-1.775282e-02
3.590000e-02	-4.385795e-01	-1.902121e-02
3.600000e-02	-4.420138e-01	-2.032074e-02
3.610000e-02	-4.454824e-01	-2.165208e-02
3.620000e-02	-4.489857e-01	-2.301598e-02
3.630000e-02	-4.525238e-01	-2.441327e-02
3.640000e-02	-4.560971e-01	-2.584482e-02
3.650000e-02	-4.597055e-01	-2.731160e-02
3.660000e-02	-4.633492e-01	-2.881459e-02
3.670000e-02	-4.670284e-01	-3.035481e-02
3.680000e-02	-4.707430e-01	-3.193330e-02
3.690000e-02	-4.744929e-01	-3.355111e-02
3.700000e-02	-4.782783e-01	-3.520926e-02
3.710000e-02	-4.820990e-01	-3.690876e-02
3.720000e-02	-4.859549e-01	-3.865058e-02
3.730000e-02	-4.898461e-01	-4.043563e-02
3.740000e-02	-4.937723e-01	-4.226475e-02
3.750000e-02	-4.977336e-01	-4.413871e-02
3.760000e-02	-5.017297e-01	-4.605818e-02
3.770000e-02	-5.057608e-01	-4.802375e-02
3.780000e-02	-5.098267e-01	-5.003588e-02
3.790000e-02	-5.139273e-01	-5.209493e-02
3.800000e-02	-5.180627e-01	-5.420115e-02
3.810000e-02	-5.222328e-01	-5.635466e-02
3.820000e-02	-5.264377e-01	-5.855546e-02
3.830000e-02	-5.306774e-01	-6.080345e-02
3.840000e-02	-5.349521e-01	-6.309840e-02
3.850000e-02	-5.392618e-01	-6.543997e-02
3.860000e-02	-5.436066e-01	-6.782774e-02
3.870000e-02	-5.479867e-01	-7.026118e-02
3.880000e-02	-5.524023e-01	-7.273967e-02
3.890000e-02	-5.568536e-01	-7.526255e-02
3.900000e-02	-5.613408e-01	-7.782907e-02
3.910000e-02	-5.658641e-01	-8.043845e-02
3.920000e-02	-5.704237e-01	-8.308987e-02
3.930000e-02	-5.750198e-01	-8.578252e-02
3.940000e-02	-5.796528e-01	-8.851554e-02
3.950000e-02	-5.843227e-01	-9.128812e-02
3.960000e-02	-5.890299e-01	-9.409945e-02
3.970000e-02	-5.937745e-01	-9.694878e-02
3.980000e-02	-5.985567e-01	-9.983538e-02
3.990000e-02	-6.033767e-01	-1.027586e-01
4.000000e-02	-6.082345e-01	-1.057178e-01
4.010000e-02	-6.131304e-01	-1.087126e-01
4.020000e-02	-6.180642e-01	-1.117424e-01
4.030000e-02	-6.230360e-01	-1.148069e-01
4.040000e-02	-6.280459e-01	-1.179059e-01
4.050000e-02	-6.330937e-01	-1.210391e-01
4.060000e-02	-6.381793e-01	-1.242065e-01
4.070000e-02	-6.433026e-01	-1.274080e-01
4.080000e-02	-6.484634e-01	-1.306438e-01
4.090000e-02	-6.536614e-01	-1.339138e-01
4.100000e-02	-6.588964e-01	-1.372184e-01
4.110000e-02	-6.641679e-01	-1.405577e-01
4.120000e-02	-6.694757e-01	-1.439320e-01
4.130000e-02	-6.748193e-01	-1.473417e-01
4.140000e-02	-6.801983e-01	-1.507869e-01
4.150000e-02	-6.856123e-01	-1.542682e-01
4.160000e-02	-6.910607e-01	-1.577856e-01
4.170000e-02	-6.965429e-01	-1.613396e-01
4.180000e-02	-7.020586e-01	-1.649304e-01
4.190000e-02	-7.076070e-01	-1.685580e-01
4.200000e-02	-7.131877e-01	-1.722226e-01
4.210000e-02	-7.188001e-01	-1.759243e-01
4.220000e-02	-7.244435e-01	-1.796629e-01
4.230000e-02	-7.301174e-01	-1.834383e-01
4.240000e-02	-7.358213e-01	-1.872503e-01
4.250000e-02	-7.415545e-01	-1.910982e-01
4.260000e-02	-7.473164e-01	-1.949818e-01
4.270000e-02	-7.531066e-01	-1.989003e-01
4.280000e-02	-7.589244e-01	-2.028529e-01
4.290000e-02	-7.647693e-01	-2.068388e-01
4.300000e-02	-7.706407e-01	-2.108569e-01
4.310000e-02	-7.765382e-01	-2.149061e-01
4.320000e-02	-7.824613e-01	-2.189851e-01
4.330000e-02	-7.884093e-01	-2.230925e-01
4.340000e-02	-7.943819e-01	-2.272270e-01
4.350000e-02	-8.003785e-01	-2.313868e-01
4.360000e-02	-8.063987e-01	-2.355705e-01
4.370000e-02	-8.124420e-01	-2.397762e-01
4.380000e-02	-8.185079e-01	-2.440023e-01
4.390000e-02	-8.245959e-01	-2.482470e-01
4.400000e-02	-8.307055e-01	-2.525084e-01
4.410000e-02	-8.368362e-01	-2.567846e-01
4.420000e-02	-8.429876e-01	-2.610740e-01
4.430000e-02	-8.491591e-01	-2.653746e-01
4.440000e-02	-8.553501e-01	-2.696846e-01
4.450000e-02	-8.615602e-01	-2.740022e-01
4.460000e-02	-8.677888e-01	-2.783258e-01
4.470000e-02	-8.740352e-01	-2.826536e-01
4.480000e-02	-8.802989e-01	-2.869841e-01
4.490000e-02	-8.865791e-01	-2.913156e-01
4.500000e-02	-8.928754e-01	-2.956467e-01
4.510000e-02	-8.991869e-01	-2.999759e-01
4.520000e-02	-9.055130e-01	-3.043020e-01
4.530000e-02	-9.118528e-01	-3.086236e-01
4.540000e-02	-9.182058e-01	-3.129394e-01
4.550000e-02	-9.245710e-01	-3.172485e-01
4.560000e-02	-9.309477e-01	-3.215496e-01
4.570000e-02	-9.373351e-01	-3.258417e-01
4.580000e-02	-9.437324e-01	-3.301238e-01
4.590000e-02	-9.501386e-01	-3.343949e-01
4.600000e-02	-9.565529e-01	-3.386542e-01
4.610000e-02	-9.629745e-01	-3.429007e-01
4.620000e-02	-9.694024e-01	-3.471334e-01
4.630000e-02	-9.758359e-01	-3.513514e-01
4.640000e-02	-9.822740e-01	-3.555538e-01
4.650000e-02	-9.887159e-01	-3.597397e-01
4.660000e-02	-9.951606e-01	-3.639079e-01
4.670000e-02	-1.001607e+00	-3.680575e-01
4.680000e-02	-1.008056e+00	-3.721873e-01
4.690000e-02	-1.014504e+00	-3.762962e-01
4.700000e-02	-1.020952e+00	-3.803830e-01
4.710000e-02	-1.027399e+00	-3.844462e-01
4.720000e-02	-1.033843e+00	-3.884846e-01
4.730000e-02	-1.040286e+00	-3.924967e-01
4.740000e-02	-1.046724e+00	-3.964810e-01
4.750000e-02	-1.053159e+00	-4.004359e-01
4.760000e-02	-1.059588e+00	-4.043596e-01
4.770000e-02	-1.066012e+00	-4.082504e-01
4.780000e-02	-1.072430e+00	-4.121065e-01
4.790000e-02	-1.078841e+00	-4.159260e-01
4.800000e-02	-1.085245e+00	-4.197070e-01
4.810000e-02	-1.091641e+00	-4.234475e-01
4.820000e-02	-1.098028e+00	-4.271455e-01
4.830000e-02	-1.104406e+00	-4.307991e-01
4.840000e-02	-1.110775e+00	-4.344062e-01
4.850000e-02	-1.117133e+00	-4.379649e-01
4.860000e-02	-1.123481e+00	-4.414734e-01
4.870000e-02	-1.129819e+00	-4.449297e-01
4.880000e-02	-1.136144e+00	-4.483320e-01
4.890000e-02	-1.142458e+00	-4.516785e-01
4.900000e-02	-1.148759e+00	-4.549675e-01
4.910000e-02	-1.155047e+00	-4.581975e-01
4.920000e-02	-1.161323e+00	-4.613670e-01
4.930000e-02	-1.167584e+00	-4.644745e-01
4.940000e-02	-1.173832e+00	-4.675187e-01
4.950000e-02	-1.180065e+00	-4.704986e-01
4.960000e-02	-1.186284e+00	-4.734131e-01
4.970000e-02	-1.192487e+00	-4.762614e-01
4.980000e-02	-1.198675e+00	-4.790429e-01
4.990000e-02	-1.204847e+00	-4.817569e-01
5.000000e-02	-1.211003e+00	-4.844031e-01
5.010000e-02	-1.217142e+00	-4.869813e-01
5.020000e-02	-1.223265e+00	-4.894916e-01
5.030000e-02	-1.229372e+00	-4.919343e-01
5.040000e-02	-1.235461e+00	-4.943097e-01
5.050000e-02	-1.241534e+00	-4.966182e-01
5.060000e-02	-1.247590e+00	-4.988607e-01
5.070000e-02	-1.253629e+00	-5.010378e-01
5.080000e-02	-1.259651e+00	-5.031505e-01
5.090000e-02	-1.265656e+00	-5.051998e-01
5.100000e-02	-1.271644e+00	-5.071869e-01
5.110000e-02	-1.277617e+00	-5.091128e-01
5.120000e-02	-1.283573e+00	-5.109788e-01
5.130000e-02	-1.289512e+00	-5.127859e-01
5.140000e-02	-1.295437e+00	-5.145355e-01
5.150000e-02	-1.301345e+00	-5.162296e-01
5.160000e-02	-1.307236e+00	-5.178711e-01
5.170000e-02	-1.313111e+00	-5.194630e-01
5.180000e-02	-1.318968e+00	-5.210081e-01
5.190000e-02	-1.324806e+00	-5.225093e-01
5.200000e-02	-1.330625e+00	-5.239694e-01
5.210000e-02	-1.336424e+00	-5.253911e-01
5.220000e-02	-1.342203e+00	-5.267771e-01
5.230000e-02	-1.347959e+00	-5.281299e-01
5.240000e-02	-1.353693e+00	-5.294519e-01
5.250000e-02	-1.359404e+00	-5.307456e-01
5.260000e-02	-1.365089e+00	-5.320132e-01
5.270000e-02	-1.370749e+00	-5.332568e-01
5.280000e-02	-1.376381e+00	-5.344785e-01
5.290000e-02	-1.381984e+00	-5.356803e-01
5.300000e-02	-1.387557e+00	-5.368639e-01
5.310000e-02	-1.393099e+00	-5.380311e-01
5.320000e-02	-1.398607e+00	-5.391836e-01
5.330000e-02	-1.404081e+00	-5.403230e-01
5.340000e-02	-1.409518e+00	-5.414508e-01
5.350000e-02	-1.414917e+00	-5.425684e-01
5.360000e-02	-1.420276e+00	-5.436772e-01
5.370000e-02	-1.425593e+00	-5.447788e-01
5.380000e-02	-1.430868e+00	-5.458755e-01
5.390000e-02	-1.436099e+00	-5.469704e-01
5.400000e-02	-1.441284e+00	-5.480663e-01
5.410000e-02	-1.446424e+00	-5.491661e-01
