" chongzhi1"

"Time      "	".JOINT_qianhou.Element_Force.Mag"
0.000000e+00	4.212966e+01
1.000000e-03	3.707866e+01
2.000000e-03	3.920289e+01
3.000000e-03	3.997518e+01
4.000000e-03	4.038331e+01
5.000000e-03	4.063903e+01
6.000000e-03	4.081515e+01
7.000000e-03	4.094428e+01
8.000000e-03	4.104266e+01
9.000000e-03	4.111932e+01
1.000000e-02	4.118016e+01
1.100000e-02	4.122864e+01
1.200000e-02	4.126717e+01
1.300000e-02	4.129916e+01
1.400000e-02	4.132657e+01
1.500000e-02	4.135037e+01
1.600000e-02	4.137111e+01
1.700000e-02	4.138923e+01
1.800000e-02	4.140556e+01
1.900000e-02	4.142067e+01
2.000000e-02	4.143494e+01
2.100000e-02	4.144841e+01
2.200000e-02	4.146119e+01
2.300000e-02	4.147342e+01
2.400000e-02	4.148512e+01
2.500000e-02	4.149638e+01
2.600000e-02	4.150712e+01
2.700000e-02	4.151731e+01
2.800000e-02	4.152695e+01
2.900000e-02	4.153612e+01
3.000000e-02	4.154493e+01
3.100000e-02	4.155341e+01
3.200000e-02	4.156160e+01
3.300000e-02	4.156949e+01
3.400000e-02	4.157708e+01
3.500000e-02	4.158437e+01
3.600000e-02	4.159135e+01
3.700000e-02	4.159811e+01
3.800000e-02	4.160462e+01
3.900000e-02	4.161097e+01
4.000000e-02	4.161702e+01
4.100000e-02	4.162290e+01
4.200000e-02	4.162829e+01
4.300000e-02	4.163364e+01
4.400000e-02	4.163852e+01
4.500000e-02	4.164324e+01
4.600000e-02	4.164776e+01
4.700000e-02	4.165223e+01
4.800000e-02	4.165663e+01
4.900000e-02	4.166084e+01
5.000000e-02	4.166489e+01
5.100000e-02	4.166890e+01
5.200000e-02	4.167290e+01
5.300000e-02	4.167694e+01
5.400000e-02	4.168105e+01
5.500000e-02	4.168520e+01
5.600000e-02	4.168937e+01
5.700000e-02	4.169351e+01
5.800000e-02	4.169768e+01
5.900000e-02	4.170187e+01
6.000000e-02	4.170612e+01
6.100000e-02	4.171038e+01
6.200000e-02	4.171463e+01
6.300000e-02	4.171879e+01
6.400000e-02	4.172284e+01
6.500000e-02	4.172677e+01
6.600000e-02	4.173061e+01
6.700000e-02	4.173438e+01
6.800000e-02	4.173809e+01
6.900000e-02	4.174172e+01
7.000000e-02	4.174525e+01
7.100000e-02	1.970058e+03
7.200000e-02	1.952182e+03
7.300000e-02	1.930588e+03
7.400000e-02	1.916805e+03
7.500000e-02	1.895749e+03
7.600000e-02	1.878853e+03
7.700000e-02	1.861004e+03
7.800000e-02	1.846638e+03
7.900000e-02	1.829619e+03
8.000000e-02	1.813230e+03
8.100000e-02	1.799752e+03
8.200000e-02	1.785828e+03
8.300000e-02	1.770434e+03
8.400000e-02	1.757511e+03
8.500000e-02	1.744448e+03
8.600000e-02	1.732869e+03
8.700000e-02	1.718550e+03
8.800000e-02	1.707918e+03
8.900000e-02	1.695691e+03
9.000000e-02	1.685455e+03
9.100000e-02	1.672953e+03
9.200000e-02	1.663308e+03
9.300000e-02	1.652154e+03
9.400000e-02	1.642988e+03
9.500000e-02	1.632006e+03
9.600000e-02	1.623158e+03
9.700000e-02	1.612685e+03
9.800000e-02	1.604712e+03
9.900000e-02	1.594721e+03
1.000000e-01	1.582008e+03
1.010000e-01	1.553763e+03
1.020000e-01	1.527612e+03
1.030000e-01	1.499838e+03
1.040000e-01	1.474926e+03
1.050000e-01	1.447901e+03
1.060000e-01	1.424672e+03
1.070000e-01	1.401062e+03
1.080000e-01	1.378468e+03
1.090000e-01	1.355851e+03
1.100000e-01	1.333552e+03
